tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,id,budget,revenue,certification,original_title,poster_path,tagline,original_language,release_date,popularity,vote_average,vote_count,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt1716772,The Inbetweeners,2011.0,97,tt1716772,69798,4478250.0,88823100.0,R,The Inbetweeners Movie,/nePYsVp0qU8EbSXeUdr3xEkHlzN.jpg,"Out of School, Out of the Country, Out of their League",en,2011-08-19,12.234,6.1,741,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84344850.0,18.834332607603418
tt1308729,Bullet to the Head,2012.0,92,tt1308729,70074,55000000.0,9489830.0,R,Bullet to the Head,/arJfxShfuZPhqfBZZU6DkPZfnjn.jpg,Revenge Never Gets Old.,en,2013-01-31,17.128,5.5,1026,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-45510170.0,-0.8274576363636363
tt1392170,The Hunger Games,2012.0,142,tt1392170,70160,75000000.0,691211000.0,PG-13,The Hunger Games,/1ewwtjqAcwZ5abr2X7coGN0UwaI.jpg,May The Odds Be Ever In Your Favor.,en,2012-03-12,56.041,7.2,19187,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,616211000.0,8.216146666666667
tt1486192,The Raven,2012.0,110,tt1486192,70436,26000000.0,29657800.0,R,The Raven,/cocc5Etbq9pgfOl3jCz9QDh3EHB.jpg,The only one who can stop a serial killer is the man who inspired him.,en,2012-03-09,31.586,6.3,1080,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3657800.0,0.14068461538461538
tt1674784,Trespass,2011.0,91,tt1674784,70578,36000000.0,9612470.0,R,Trespass,/yP60huMcPTWOJfplRLi4FQAEQxX.jpg,When terror is at your doorstep. You can run. Or you can fight.,en,2011-10-13,9.573,5.5,965,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-26387530.0,-0.7329869444444445
tt1748197,Setup,2011.0,85,tt1748197,70586,20000000.0,2128190.0,R,Setup,/h74bol6GYG6eyXIAZVGmQBraI8c.jpg,,en,2011-10-17,8.622,5.0,348,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17871810.0,-0.8935905
tt1107319,Dirty Girl,2010.0,90,tt1107319,70695,4000000.0,143485.0,R,Dirty Girl,/bQ6tNsVfa9DSGzmuvDdlOBZUexY.jpg,Let them talk,en,2010-09-12,6.467,6.2,151,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3856515.0,-0.96412875
tt1742650,I Don't Know How She Does It,2011.0,89,tt1742650,70868,24000000.0,31410200.0,PG-13,I Don't Know How She Does It,/eUQfE21WB0qKfUx6yUAhmsCWTmX.jpg,"If it were easy, men would do it too.",en,2011-09-16,18.298,5.2,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7410200.0,0.30875833333333336
tt1446714,Prometheus,2012.0,124,tt1446714,70981,130000000.0,403354000.0,R,Prometheus,/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,The Search for Our Beginning Could Lead to Our End.,en,2012-05-30,90.597,6.5,10228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,273354000.0,2.102723076923077
tt1093357,The Darkest Hour,2011.0,89,tt1093357,71469,30000000.0,64626800.0,PG-13,The Darkest Hour,/5Ao4qAFbjP7fcFOOdMNvQEnl0Yr.jpg,Survive The Holidays,en,2011-12-22,12.226,5.3,1185,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34626800.0,1.1542266666666667
tt1605630,American Reunion,2012.0,113,tt1605630,71552,50000000.0,234990000.0,R,American Reunion,/de5QBIdVR4dnkBZ4a0zjkS4lTg.jpg,Save the best piece for last.,en,2012-04-04,56.985,6.3,3799,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184990000.0,3.6998
