tconst,averageRating,numVotes
tt0216584,5.5,4091
tt0216587,3.2,89
tt0216605,6.0,1889
tt0216620,4.4,2420
tt0216625,7.1,14947
tt0216651,7.6,35163
tt0216669,6.3,106
tt0216689,6.6,1299
tt0216731,7.0,499
tt0216746,3.7,1930
tt0216772,4.1,1370
tt0216787,7.2,10277
tt0216799,7.0,6732
tt0216800,7.1,11877
tt0216837,8.4,24
tt0216841,4.2,1070
tt0216890,4.8,519
tt0216930,4.7,1850
tt0216982,6.3,685
tt0216990,6.7,456
tt0217019,6.1,1821
tt0217031,4.9,411
tt0217086,4.6,1544
tt0217107,3.8,746
tt0217119,6.9,1700
tt0217135,6.0,342
tt0217287,3.6,300
tt0217319,5.2,481
tt0217331,5.1,3111
tt0217355,5.7,4105
tt0217505,7.5,467706
tt0217570,4.3,261
tt0217621,4.7,444
tt0217630,5.3,30179
tt0217654,3.5,828
tt0217664,7.7,41
tt0217686,6.6,101
tt0217721,7.2,19
tt0217756,5.3,15162
tt0217758,5.2,643
tt0217780,3.0,146
tt0217787,5.3,210
tt0217788,5.3,184
tt0217802,4.3,233
tt0217824,6.2,1767
tt0217869,7.3,436820
tt0217978,5.7,1616
tt0217979,3.4,729
tt0218000,6.2,676
tt0218032,5.3,205
tt0218053,3.1,235
tt0218067,4.3,2087
tt0218080,3.3,1301
tt0218107,5.6,1173
tt0218112,6.2,1526
tt0218126,3.5,482
tt0218138,4.6,856
tt0218140,8.6,37
tt0218141,5.9,1794
tt0218182,6.2,1736
tt0218183,6.6,15
tt0218298,5.7,621
tt0218323,4.6,348
tt0218378,6.3,6577
tt0218379,6.4,1872
tt0218390,5.8,205
tt0218426,5.3,159
tt0218475,6.6,80
tt0218533,6.7,2598
tt0218561,5.5,89
tt0218581,5.0,2713
tt0218616,6.6,1389
tt0218619,3.9,9546
tt0218625,3.9,1725
tt0218641,3.2,832
tt0218727,5.1,142
tt0218741,5.7,139
tt0218800,5.7,262
tt0218817,6.1,30156
tt0218839,7.4,65999
tt0218864,5.8,7396
tt0218922,6.0,59258
tt0218967,6.8,118238
tt0218978,5.0,114
tt0219171,6.0,2719
tt0219210,5.4,178
tt0219214,3.8,215
tt0219223,4.9,53
tt0219249,7.7,47
tt0219272,5.2,235
tt0219288,7.5,3221
tt0219327,5.7,564
tt0219333,5.7,854
tt0219336,4.6,113
tt0219338,5.1,49
tt0219374,6.7,4066
tt0219400,5.5,6219
tt0219408,5.7,457
tt0219469,5.8,497
tt0219519,6.3,1722
tt0219636,6.2,495
tt0219640,4.1,423
tt0219643,5.2,45
tt0219653,4.9,36089
tt0219687,7.9,58
tt0219699,6.7,74036
tt0219756,5.4,110
tt0219822,6.4,18836
tt0219854,6.1,44047
tt0219952,5.1,10877
tt0219957,4.9,325
tt0219965,6.5,70465
tt0220005,5.8,91
tt0220034,6.4,304
tt0220099,6.3,20142
tt0220100,6.1,7063
tt0220122,6.5,32
tt0220157,6.5,1327
tt0220322,7.2,29
tt0220331,5.3,26
tt0220332,6.3,51
tt0220343,5.4,1420
tt0220371,5.3,38
tt0220399,5.5,92
tt0220506,3.9,48709
tt0220514,3.8,367
tt0220580,6.8,13551
tt0220605,6.9,23
tt0220607,5.7,9
tt0220627,6.7,7042
tt0220631,6.9,1549
tt0220651,6.7,328
tt0220652,5.3,611
tt0220827,6.2,7397
tt0220864,4.2,169
tt0221013,6.6,1084
tt0221023,7.9,1068
tt0221027,7.5,272548
tt0221069,6.2,3630
tt0221073,7.1,40996
tt0221074,6.4,884
tt0221197,4.4,425
tt0221218,5.8,39512
tt0221297,4.4,311
tt0221431,4.6,499
tt0221463,3.8,149
tt0221503,5.7,113
tt0221559,6.9,4721
tt0221563,6.0,1249
tt0221637,5.9,97
tt0221799,6.7,4554
tt0221823,7.3,54
tt0221837,6.2,290
tt0221838,6.8,2546
tt0221885,4.9,1183
tt0221889,5.8,3916
tt0221928,5.1,2155
tt0221982,4.5,799
tt0222012,7.9,13866
tt0222020,3.3,653
tt0222023,9.1,13
tt0222024,5.4,7565
tt0222142,7.5,33
tt0222150,7.0,1249
tt0222167,4.5,1163
tt0222270,6.1,8413
tt0222293,6.7,2126
tt0222375,5.5,280
tt0222441,8.5,17
tt0222666,3.5,657
tt0222705,4.9,131
tt0222710,7.7,21
tt0222717,4.5,161
tt0222719,3.7,384
tt0222790,6.3,41
tt0222812,5.8,12879
tt0222849,7.9,28
tt0222850,6.9,8094
tt0222851,7.1,24190
tt0222989,7.6,17
tt0223268,4.4,4454
tt0223284,3.5,223
tt0223593,6.0,158
tt0223744,4.3,210
tt0223828,5.3,96
tt0223832,6.5,1345
tt0223856,5.4,255
tt0223889,5.6,101
tt0223897,7.2,123193
tt0223911,5.0,89
tt0223954,6.0,2301
tt0224025,4.1,1056
tt0224050,6.0,341
tt0224084,4.4,130
tt0224086,3.6,228
tt0224394,5.3,113
tt0224451,7.2,91
tt0224578,7.2,3919
tt0224626,4.1,934
tt0224755,6.3,88
tt0225071,5.7,25525
tt0225196,5.5,318
tt0225518,8.2,35
tt0225828,4.0,183
tt0225865,4.7,358
tt0226094,5.9,332
tt0226198,4.7,165
tt0226225,5.5,155
tt0226238,6.0,64
tt0226351,4.4,226
tt0226430,5.7,924
tt0226498,5.9,57
tt0226591,7.5,57
tt0226708,5.6,261
tt0226851,6.6,15
