title,author,scipt date,script type,movie url,script url
Avengers: Endgame,"Christopher Markus,Stephen McFeely",,Draft,https://imsdb.com/Movie%20Scripts/Avengers%3A%20Endgame%20Script.html,https://imsdb.com/scripts/Avengers:-Endgame.html
"Avventura, L' (The Adventure)","Michelangelo Antonioni,Elio Bartolini,Tonino Guerra",The,Adventure,https://imsdb.com/Movie%20Scripts/Avventura%2C%20L%27%20%28The%20Adventure%29%20Script.html,"https://imsdb.com/scripts/Avventura,-L'-(The-Adventure).html"
Awakenings,Steven Zaillian,1989-10,Draft,https://imsdb.com/Movie%20Scripts/Awakenings%20Script.html,https://imsdb.com/scripts/Awakenings.html
Babel,Guillermo Arriaga,2005-04,Draft,https://imsdb.com/Movie%20Scripts/Babel%20Script.html,https://imsdb.com/scripts/Babel.html
Bachelor Party,"Neal Israel,Pat Proft,Bob Israel",Undated,Shooting draft,https://imsdb.com/Movie%20Scripts/Bachelor%20Party%20Script.html,https://imsdb.com/scripts/Bachelor-Party.html
"Bachelor Party, The",Paddy Chayefsky,Undated,Shooting draft,https://imsdb.com/Movie%20Scripts/Bachelor%20Party%2C%20The%20Script.html,"https://imsdb.com/scripts/Bachelor-Party,-The.html"
Back to the Future,"Robert Zemeckis,Bob Gale",1984-10,Draft,https://imsdb.com/Movie%20Scripts/Back%20to%20the%20Future%20Script.html,https://imsdb.com/scripts/Back-to-the-Future.html
Back to the Future II & III,Bob Gale,1989-02,Draft,https://imsdb.com/Movie%20Scripts/Back%20to%20the%20Future%20II%20%26%20III%20Script.html,https://imsdb.com/scripts/Back-to-the-Future-II-&-III.html
"Back-up Plan, The",Kate Angelo,2007-08,Draft,https://imsdb.com/Movie%20Scripts/Back-up%20Plan%2C%20The%20Script.html,"https://imsdb.com/scripts/Back-up-Plan,-The.html"
Backdraft,Gregory Widen,1991,Draft,https://imsdb.com/Movie%20Scripts/Backdraft%20Script.html,https://imsdb.com/scripts/Backdraft.html
Bad Boys,"Michael Barrie,Jim Mulholland,Doug Richardson",1994-06,Draft,https://imsdb.com/Movie%20Scripts/Bad%20Boys%20Script.html,https://imsdb.com/scripts/Bad-Boys.html
Bad Country,Jonathan Hirschbein,2012-05,Draft,https://imsdb.com/Movie%20Scripts/Bad%20Country%20Script.html,https://imsdb.com/scripts/Bad-Country.html
Bad Day at Black Rock,"Don McGuire,Millard Kaufman,Howard Breslin",Undated,Shooting draft,https://imsdb.com/Movie%20Scripts/Bad%20Day%20at%20Black%20Rock%20Script.html,https://imsdb.com/scripts/Bad-Day-at-Black-Rock.html
Bad Dreams,"Andrew Fleming,Steven E. de Souza",Undated,Draft,https://imsdb.com/Movie%20Scripts/Bad%20Dreams%20Script.html,https://imsdb.com/scripts/Bad-Dreams.html
Bad Lieutenant,"Abel Ferrara,Zoe Lund",1990-11,First Draft,https://imsdb.com/Movie%20Scripts/Bad%20Lieutenant%20Script.html,https://imsdb.com/scripts/Bad-Lieutenant.html
Bad Santa,"Glenn Ficarra,John Requa",2002-02,Draft,https://imsdb.com/Movie%20Scripts/Bad%20Santa%20Script.html,https://imsdb.com/scripts/Bad-Santa.html
Bad Teacher,"Lee Eisenberg,Gene Stupnitsky",2008-06,Draft,https://imsdb.com/Movie%20Scripts/Bad%20Teacher%20Script.html,https://imsdb.com/scripts/Bad-Teacher.html
Badlands,Terence Malick,1973,Draft,https://imsdb.com/Movie%20Scripts/Badlands%20Script.html,https://imsdb.com/scripts/Badlands.html
Bamboozled,Spike Lee,Undated,Draft,https://imsdb.com/Movie%20Scripts/Bamboozled%20Script.html,https://imsdb.com/scripts/Bamboozled.html
Barry Lyndon,Stanley Kubrick,1973-02,Draft,https://imsdb.com/Movie%20Scripts/Barry%20Lyndon%20Script.html,https://imsdb.com/scripts/Barry-Lyndon.html
Barton Fink,"Joel Coen,Ethan Coen",Undated,Draft,https://imsdb.com/Movie%20Scripts/Barton%20Fink%20Script.html,https://imsdb.com/scripts/Barton-Fink.html
Basic,James Vanderbilt,2000-03,Draft,https://imsdb.com/Movie%20Scripts/Basic%20Script.html,https://imsdb.com/scripts/Basic.html
Basic Instinct,Joe Eszterhas,Undated,Draft,https://imsdb.com/Movie%20Scripts/Basic%20Instinct%20Script.html,https://imsdb.com/scripts/Basic-Instinct.html
Basquiat,Julian Schnabel,Undated,Draft,https://imsdb.com/Movie%20Scripts/Basquiat%20Script.html,https://imsdb.com/scripts/Basquiat.html
Batman,"Sam Hamm,Warren Skaaren",1988-10,Draft,https://imsdb.com/Movie%20Scripts/Batman%20Script.html,https://imsdb.com/scripts/Batman.html
Batman 2,Sam Hamm,Undated,Draft,https://imsdb.com/Movie%20Scripts/Batman%202%20Script.html,https://imsdb.com/scripts/Batman-2.html
Batman and Robin,"Bob Kane,Akiva Goldsman",1997,Draft,https://imsdb.com/Movie%20Scripts/Batman%20and%20Robin%20Script.html,https://imsdb.com/scripts/Batman-and-Robin.html
Batman Begins,David Goyer,Undated,Draft,https://imsdb.com/Movie%20Scripts/Batman%20Begins%20Script.html,https://imsdb.com/scripts/Batman-Begins.html
